Year,County,winning_party D:0 R:1
2012,ADAMS,1
2012,ALLEGHENY,0
2012,ARMSTRONG,1
2012,BEAVER,1
2012,BERKS,1
2012,BLAIR,1
2012,BUCKS,0
2012,BUTLER,1
2012,CAMBRIA,1
2012,CARBON,1
2012,CENTRE,0
2012,CHESTER,1
2012,CLEARFIELD,1
2012,COLUMBIA,1
2012,CRAWFORD,1
2012,CUMBERLAND,1
2012,DAUPHIN,0
2012,DELAWARE,0
2012,ERIE,0
2012,FAYETTE,1
2012,FRANKLIN,1
2012,INDIANA,1
2012,LACKAWANNA,0
2012,LANCASTER,1
2012,LAWRENCE,1
2012,LEBANON,1
2012,LEHIGH,0
2012,LUZERNE,0
2012,LYCOMING,1
2012,MERCER,1
2012,MONROE,0
2012,MONTGOMERY,0
2012,NORTHAMPTON,0
2012,NORTHUMBERLAND,1
2012,PHILADELPHIA,0
2012,SCHUYLKILL,1
2012,SOMERSET,1
2012,WASHINGTON,1
2012,WESTMORELAND,1
2012,YORK,1
2016,ADAMS,1
2016,ALLEGHENY,0
2016,ARMSTRONG,1
2016,BEAVER,1
2016,BERKS,1
2016,BLAIR,1
2016,BUCKS,0
2016,BUTLER,1
2016,CAMBRIA,1
2016,CARBON,1
2016,CENTRE,0
2016,CHESTER,0
2016,CLEARFIELD,1
2016,COLUMBIA,1
2016,CRAWFORD,1
2016,CUMBERLAND,1
2016,DAUPHIN,0
2016,DELAWARE,0
2016,ERIE,1
2016,FAYETTE,1
2016,FRANKLIN,1
2016,INDIANA,1
2016,LACKAWANNA,0
2016,LANCASTER,1
2016,LAWRENCE,1
2016,LEBANON,1
2016,LEHIGH,0
2016,LUZERNE,1
2016,LYCOMING,1
2016,MERCER,1
2016,MONROE,0
2016,MONTGOMERY,0
2016,NORTHAMPTON,1
2016,NORTHUMBERLAND,1
2016,PHILADELPHIA,0
2016,SCHUYLKILL,1
2016,SOMERSET,1
2016,WASHINGTON,1
2016,WESTMORELAND,1
2016,YORK,1
2020,ADAMS,1
2020,ALLEGHENY,0
2020,ARMSTRONG,1
2020,BEAVER,1
2020,BERKS,1
2020,BLAIR,1
2020,BUCKS,0
2020,BUTLER,1
2020,CAMBRIA,1
2020,CARBON,1
2020,CENTRE,0
2020,CHESTER,0
2020,CLEARFIELD,1
2020,COLUMBIA,1
2020,CRAWFORD,1
2020,CUMBERLAND,1
2020,DAUPHIN,0
2020,DELAWARE,0
2020,ERIE,0
2020,FAYETTE,1
2020,FRANKLIN,1
2020,INDIANA,1
2020,LACKAWANNA,0
2020,LANCASTER,1
2020,LAWRENCE,1
2020,LEBANON,1
2020,LEHIGH,0
2020,LUZERNE,1
2020,LYCOMING,1
2020,MERCER,1
2020,MONROE,0
2020,MONTGOMERY,0
2020,NORTHAMPTON,0
2020,NORTHUMBERLAND,1
2020,PHILADELPHIA,0
2020,SCHUYLKILL,1
2020,SOMERSET,1
2020,WASHINGTON,1
2020,WESTMORELAND,1
2020,YORK,1
